submission_date,submission_client,submission_asset,submission_service,submission_snap_time,submission_curr_1,submission_curr_2,submission_onshore_offshore_curr_1,submission_onshore_offshore_curr_2,submission_instrument_type,submission_tenor,submission_fwrd_conversion_factor,submission_value_source,submission_value_source_ref_id,submission_spot_reference_price,submission_mid_fwrd_outright,submission_mid_fwrd_points
11/30/21,Credit Suisse,Foreign Exchange,Vanilla,London 4 PM,AUD,CAD,,,Spot Price,Spot,,,,0.913744778,,0.913744778
11/30/21,Credit Suisse,Foreign Exchange,Vanilla,London 4 PM,AUD,CAD,,,Forward,ON,10000,,,0.913744778,0.913749627,0.048486288
11/30/21,Credit Suisse,Foreign Exchange,Vanilla,London 4 PM,AUD,CAD,,,Forward,TN,10000,,,0.913744778,0.913749627,0.048486288
11/30/21,Credit Suisse,Foreign Exchange,Vanilla,London 4 PM,AUD,CAD,,,Forward,SpotNext,10000,,,0.913744778,0.913749627,0.048486288
11/30/21,Credit Suisse,Foreign Exchange,Vanilla,London 4 PM,AUD,CAD,,,Forward,1W,10000,,,0.913744778,0.913775715,0.309370497
11/30/21,Credit Suisse,Foreign Exchange,Vanilla,London 4 PM,AUD,CAD,,,Forward,2W,10000,,,0.913744778,0.913811316,0.665381047
11/30/21,Credit Suisse,Foreign Exchange,Vanilla,London 4 PM,AUD,CAD,,,Forward,1M,10000,,,0.913744778,0.913750634,0.058554832
11/30/21,Credit Suisse,Foreign Exchange,Vanilla,London 4 PM,AUD,CAD,,,Forward,2M,10000,,,0.913744778,0.913890061,1.452832434
11/30/21,Credit Suisse,Foreign Exchange,Vanilla,London 4 PM,AUD,CAD,,,Forward,3M,10000,,,0.913744778,0.913996557,2.517785838
11/30/21,Credit Suisse,Foreign Exchange,Vanilla,London 4 PM,AUD,CAD,,,Forward,6M,10000,,,0.913744778,0.914620604,8.758263312
11/30/21,Credit Suisse,Foreign Exchange,Vanilla,London 4 PM,AUD,CAD,,,Forward,9M,10000,,,0.913744778,0.915615401,18.70622987
11/30/21,Credit Suisse,Foreign Exchange,Vanilla,London 4 PM,AUD,CAD,,,Forward,1Y,10000,,,0.913744778,0.916593918,28.49140094
11/30/21,Credit Suisse,Foreign Exchange,Vanilla,London 4 PM,AUD,CAD,,,Forward,18M,10000,,,0.913744778,0.917911022,41.66243796
11/30/21,Credit Suisse,Foreign Exchange,Vanilla,London 4 PM,AUD,CAD,,,Forward,2Y,10000,,,0.913744778,0.916576568,28.31789497
